disease_name,definition,lab_test,lab_patterns,complications,monitoring
Pulmonary Embolism,Blockage of pulmonary arteries by blood clots causing impaired gas exchange and circulation,Troponin,"{'normal': '<0.04 ng/mL', 'elevated': '0.04-0.4 ng/mL', 'high': '>0.4 ng/mL'}","Right heart strain,Cardiac dysfunction,Poor prognosis","Troponin monitoring,Echocardiography,Thrombolytic therapy consideration"
Sepsis,Life-threatening organ dysfunction caused by dysregulated host response to infection,Lactate,"{'normal': '0.5-1.6 mmol/L', 'mild_elevation': '1.6-2.5 mmol/L', 'moderate_elevation': '2.5-4.0 mmol/L', 'severe_elevation': '>4.0 mmol/L'}","Septic shock,Multi-organ failure,Death","Serial lactate monitoring,Fluid resuscitation,Vasopressor therapy,Source control"
Sepsis,Life-threatening organ dysfunction caused by dysregulated host response to infection,Procalcitonin,"{'normal': '<0.1 ng/mL', 'local_infection': '0.1-0.25 ng/mL', 'systemic_infection': '0.25-0.5 ng/mL', 'sepsis': '0.5-2.0 ng/mL', 'severe_sepsis': '>2.0 ng/mL'}","Antibiotic resistance,Treatment failure,Mortality","Procalcitonin-guided therapy,Antibiotic duration,Treatment response"
Sepsis,Life-threatening organ dysfunction caused by dysregulated host response to infection,White blood cell count,"{'normal': '4000-11000/μL', 'leukopenia': '<4000/μL', 'leukocytosis': '12000-25000/μL', 'severe_leukocytosis': '>25000/μL'}","Immunosuppression,Bone marrow failure,Overwhelming infection","CBC monitoring,Neutrophil count,Left shift assessment"
Sepsis,Life-threatening organ dysfunction caused by dysregulated host response to infection,Platelet count,"{'normal': '150000-450000/μL', 'mild_thrombocytopenia': '100000-149000/μL', 'moderate_thrombocytopenia': '50000-99000/μL', 'severe_thrombocytopenia': '<50000/μL'}","DIC,Bleeding complications,Thrombotic microangiopathy","Platelet monitoring,Coagulation studies,Bleeding precautions"
Acute Kidney Injury,Rapid decline in kidney function characterized by accumulation of waste products and fluid imbalance,Creatinine,"{'baseline': 'Patient specific', 'stage1_AKI': '1.5-1.9x baseline', 'stage2_AKI': '2.0-2.9x baseline', 'stage3_AKI': '>=3.0x baseline'}","Chronic kidney disease,Dialysis requirement,Death,Cardiovascular complications","Daily creatinine monitoring,Urine output,Fluid balance,Nephrotoxin avoidance"
Acute Kidney Injury,Rapid decline in kidney function characterized by accumulation of waste products and fluid imbalance,BUN,"{'normal': '7-20 mg/dL', 'elevated': '21-50 mg/dL', 'high': '51-100 mg/dL', 'very_high': '>100 mg/dL'}","Uremia,Electrolyte imbalances,Metabolic acidosis","BUN monitoring,BUN/creatinine ratio,Uremic symptoms assessment"
Acute Kidney Injury,Rapid decline in kidney function characterized by accumulation of waste products and fluid imbalance,Potassium,"{'normal': '3.5-5.0 mEq/L', 'mild_hyperkalemia': '5.1-6.0 mEq/L', 'moderate_hyperkalemia': '6.1-7.0 mEq/L', 'severe_hyperkalemia': '>7.0 mEq/L'}","Cardiac arrhythmias,Cardiac arrest,Muscle paralysis","Frequent electrolyte monitoring,ECG surveillance,Dialysis consideration"
Liver Cirrhosis,End-stage liver disease characterized by fibrosis and nodular regeneration affecting liver function,Bilirubin total,"{'normal': '0.2-1.2 mg/dL', 'mild_elevation': '1.3-3.0 mg/dL', 'moderate_elevation': '3.1-10.0 mg/dL', 'severe_elevation': '>10.0 mg/dL'}","Jaundice,Portal hypertension,Hepatic encephalopathy,Liver failure","Bilirubin monitoring,Liver function tests,MELD score calculation"
Liver Cirrhosis,End-stage liver disease characterized by fibrosis and nodular regeneration affecting liver function,Albumin,"{'normal': '3.5-5.0 g/dL', 'mild_hypoalbuminemia': '3.0-3.4 g/dL', 'moderate_hypoalbuminemia': '2.5-2.9 g/dL', 'severe_hypoalbuminemia': '<2.5 g/dL'}","Ascites,Edema,Poor wound healing,Increased mortality","Albumin monitoring,Nutritional assessment,Ascites management"
Liver Cirrhosis,End-stage liver disease characterized by fibrosis and nodular regeneration affecting liver function,INR,"{'normal': '0.8-1.1', 'mild_prolongation': '1.2-1.5', 'moderate_prolongation': '1.6-2.0', 'severe_prolongation': '>2.0'}","Bleeding complications,Coagulopathy,Poor prognosis","INR monitoring,Bleeding assessment,Liver transplant evaluation"
Liver Cirrhosis,End-stage liver disease characterized by fibrosis and nodular regeneration affecting liver function,Ammonia,"{'normal': '15-45 μg/dL', 'mild_elevation': '46-75 μg/dL', 'moderate_elevation': '76-150 μg/dL', 'severe_elevation': '>150 μg/dL'}","Hepatic encephalopathy,Neurological complications,Coma","Ammonia monitoring,Lactulose therapy,Protein restriction,Rifaximin"
Pancreatitis,Inflammation of the pancreas causing severe abdominal pain and potential systemic complications,Lipase,"{'normal': '10-140 U/L', 'mild_elevation': '141-500 U/L', 'moderate_elevation': '501-1000 U/L', 'severe_elevation': '>1000 U/L'}","Pancreatic necrosis,Pseudocyst formation,Diabetes,Chronic pancreatitis","Lipase monitoring,Imaging studies,Pain management,Nutritional support"
Pancreatitis,Inflammation of the pancreas causing severe abdominal pain and potential systemic complications,Amylase,"{'normal': '30-110 U/L', 'mild_elevation': '111-300 U/L', 'moderate_elevation': '301-600 U/L', 'severe_elevation': '>600 U/L'}","Severe pancreatitis,Complications,Poor prognosis","Amylase monitoring,Lipase correlation,Clinical assessment"
Pancreatitis,Inflammation of the pancreas causing severe abdominal pain and potential systemic complications,Calcium,"{'normal': '8.5-10.5 mg/dL', 'mild_hypocalcemia': '8.0-8.4 mg/dL', 'moderate_hypocalcemia': '7.0-7.9 mg/dL', 'severe_hypocalcemia': '<7.0 mg/dL'}","Hypocalcemia,Tetany,Cardiac complications","Calcium monitoring,Albumin-corrected calcium,Magnesium levels,Phosphorus levels"
Thyroid Cancer,Malignant neoplasm of the thyroid gland with potential for local invasion and distant metastasis,Thyroglobulin,"{'normal': '3-40 ng/mL', 'suppressed_post_surgery': '<1 ng/mL', 'recurrence_concern': '>2 ng/mL', 'high_recurrence_risk': '>10 ng/mL'}","Local recurrence,Distant metastasis,Lymph node involvement","Thyroglobulin monitoring,Thyroglobulin antibodies,Neck ultrasound,Whole body scan"
Thyroid Cancer,Malignant neoplasm of the thyroid gland with potential for local invasion and distant metastasis,Thyroglobulin antibodies,"{'normal': '<4 IU/mL', 'positive': '>=4 IU/mL'}","Thyroglobulin assay interference,Monitoring challenges","TgAb monitoring,Alternative tumor markers,Imaging correlation"
Thyroid Cancer,Malignant neoplasm of the thyroid gland with potential for local invasion and distant metastasis,TSH,"{'suppressed': '<0.1 mIU/L', 'low_suppression': '0.1-0.5 mIU/L', 'normal': '0.5-4.0 mIU/L'}","Cancer recurrence,Treatment monitoring,Thyroid hormone effects","TSH suppression therapy,Cardiovascular monitoring,Bone density assessment"
Multiple Sclerosis,Chronic autoimmune demyelinating disease of the central nervous system causing neurological dysfunction,Oligoclonal bands,"{'negative': 'Absent', 'positive': 'Present in CSF not serum', 'nonspecific': 'Present in both CSF and serum'}","Disease progression,Disability,Cognitive impairment,Secondary progressive MS","CSF analysis,MRI brain and spine,Neurological assessment,Disability scoring"
Multiple Sclerosis,Chronic autoimmune demyelinating disease of the central nervous system causing neurological dysfunction,IgG index,"{'normal': '<0.7', 'elevated': '>=0.7'}","Intrathecal IgG synthesis,CNS inflammation,Disease activity","IgG index calculation,CSF protein analysis,Blood-brain barrier assessment"
Multiple Sclerosis,Chronic autoimmune demyelinating disease of the central nervous system causing neurological dysfunction,Neurofilament light chain,"{'normal': '<8 pg/mL', 'elevated': '8-20 pg/mL', 'high': '>20 pg/mL'}","Axonal damage,Disease progression,Treatment response","NFL monitoring,MRI correlation,Disability progression assessment"
Alzheimer Disease,Progressive neurodegenerative disorder characterized by cognitive decline and dementia,CSF Amyloid beta 42,"{'normal': '>500 pg/mL', 'intermediate': '200-500 pg/mL', 'low_AD_risk': '<200 pg/mL'}","Progressive dementia,Behavioral changes,Loss of independence,Death","Neuropsychological testing,Brain imaging,CSF biomarkers,Genetic testing"
Alzheimer Disease,Progressive neurodegenerative disorder characterized by cognitive decline and dementia,CSF Total tau,"{'normal': '<300 pg/mL', 'intermediate': '300-450 pg/mL', 'elevated': '>450 pg/mL'}","Neuronal death,Disease progression,Cognitive decline","Tau protein monitoring,Cognitive assessments,Functional evaluations"
Alzheimer Disease,Progressive neurodegenerative disorder characterized by cognitive decline and dementia,CSF Phosphorylated tau,"{'normal': '<20 pg/mL', 'intermediate': '20-80 pg/mL', 'elevated': '>80 pg/mL'}","Neurofibrillary tangles,AD pathology,Cognitive impairment","p-tau monitoring,Tau/Aβ42 ratio,Disease staging,Treatment planning"
